Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
43	2.6308312	138.19354	1.818736e-08	0.06451613	0.02764977	1726.0	0.0013075757575757576	1.1582204	1320000	-5.086263e-09	0.037582424	-2.81268e-07	-0.011979361	-0.012265537	-0.13249238	0.78968614	0.018419942	5916.0023691654205
44	2.4991975	121.41296	2.5395174e-11	0.42510122	0.06477733	1831.0	0.0013562962962962962	1.1792895	1350000	5.086263e-09	0.0248183	-1.7760736e-07	-0.008841958	-0.008680364	-0.12312001	0.7814646	0.012298979	6078.606451511383
45	2.5578587	126.82204	5.9994793e-16	0.31779662	0.033898305	1906.0	0.001381159420289855	1.194526	1380000	-6.612142e-09	0.017043274	-3.2327943e-08	-0.01519529	-0.002788134	-0.15596229	0.7785417	0.019060861	6229.560750246048
46	2.6592927	138.875	2.8637429e-10	0.2962963	0.06481481	1970.0	0.0013971631205673758	1.1725602	1410000	2.0345052e-09	0.07194555	-1.9426699e-07	-0.007334776	-0.035999455	-0.16314508	0.77558607	0.013708172	6375.331562995911
47	2.5647907	127.833336	3.7659964e-07	0.051282052	0.025641026	1982.0	0.0013763888888888888	1.1857046	1440000	-6.103516e-09	0.07682832	-1.7117232e-07	-0.008677634	-0.03791759	-0.17170821	0.7667758	0.016791787	6573.124833583832
48	2.4693112	117.73622	0.0008615862	0.070866145	0.007874016	2000.0	0.0013605442176870747	1.1876262	1470000	8.138021e-09	0.048683718	-8.635634e-08	-0.006500004	-0.021517547	-0.12783189	0.7614167	0.013834027	6762.843910932541
49	2.5415041	125.02929	0.0	0.041841004	0.020920502	2010.0	0.00134	1.1781101	1500000	2.0345052e-09	0.05359553	-8.778592e-08	-0.0020415294	-0.025775589	-0.14618973	0.76007694	0.02140592	6960.015513658524
50	2.5586863	135.79453	7.53138e-36	0.05022831	0.01369863	2021.0	0.0013209150326797387	1.1616795	1530000	2.0345052e-09	0.105203904	7.838419e-08	-0.008180915	-0.044705674	-0.16388682	0.76183665	0.0190854	7148.834162712097
51	2.5652995	133.2009	1.5029815e-05	0.06696428	0.02232143	2036.0	0.001305128205128205	1.107895	1560000	3.051758e-09	0.077174515	1.021794e-07	-0.0042759404	-0.039959826	-0.1365865	0.75562733	0.017234692	7331.600440263748
52	2.6022704	136.36073	1.8271638e-08	0.11872146	0.03652968	2062.0	0.0012968553459119497	1.1647009	1590000	-5.086263e-09	0.044573285	-2.438619e-07	-0.011883915	-0.015137456	-0.15707578	0.7515189	0.01315639	7540.429499387741
53	2.5089936	147.57635	0.0	0.18226601	0.014778325	2099.0	0.001295679012345679	1.145598	1620000	-1.9582114e-08	0.22806916	1.3154128e-07	-0.015454454	-0.15542392	-0.13233207	0.74909586	0.017278563	7720.858208656311
54	2.5800397	142.11374	0.0002556263	0.09952607	0.023696683	2120.0	0.0012848484848484848	1.0770808	1650000	-8.138021e-09	0.12002464	1.7175178e-07	-0.008818384	-0.07262093	-0.14084119	0.7498795	0.017130764	7904.09698677063
55	2.522272	137.8894	1.8317939e-10	0.032258064	0.013824885	2127.0	0.0012660714285714285	1.1089458	1680000	-1.3224284e-08	0.07355355	-1.5821325e-07	-0.008974886	-0.0306056	-0.069985	0.7484456	0.011293948	8054.874325037003
56	2.4705276	132.64601	2.8897118e-19	0.07522124	0.026548672	2144.0	0.0012538011695906433	1.0731246	1710000	6.612142e-09	0.049671754	-1.6879191e-07	-0.0076491153	-0.012803659	-0.13714637	0.741163	0.014783887	8236.790129184723
57	2.608161	136.36073	2.0016808e-17	0.16438356	0.03652968	2180.0	0.0012528735632183908	1.1087754	1740000	6.103516e-09	0.055395752	1.6112305e-07	-0.010114296	-0.029239384	-0.13632795	0.73665965	0.012452749	8419.990190505981
58	2.5130706	117.8189	0.0	0.007874016	0.003937008	2182.0	0.0012327683615819208	1.1870196	1770000	5.5948894e-09	0.034262873	-2.402959e-07	-0.011821689	-0.012727769	-0.15407719	0.7357282	0.01882822	8597.69591474533
59	2.5441623	118.19444	0.0	0.15476191	0.01984127	2221.0	0.001233888888888889	1.2106438	1800000	-1.1444092e-08	0.02149151	-2.2706534e-08	-0.0020151408	-0.0074140104	-0.106154434	0.73968726	0.013213644	8801.87409210205
