Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCostRet	StdEpCostRet	MaxEpCostRet	MinEpCostRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-0.38347447	0.8806349	1.5555338	-2.370148	1000.0	0.00844169	0.045459893	0.25325072	0.0	5.7438173	14.017861	58.35885	0.0	5141.7925	0.005528809118783602	-0.05902299	0.091262564	0.16050664	-0.5745098	930000	5.086263e-10	0.034996964	-0.056008335	-0.007027071	0.92024505	0.015753318	34476.26585650444
31	-0.63016945	0.6508776	0.7662227	-2.0089173	1000.0	4.704915e-11	2.5336738e-10	1.4114745e-09	0.0	3.0979412	10.794471	56.381866	0.0	5234.731	0.005452844746907552	-0.017605657	0.061584223	0.13930039	-0.38755375	960000	6.866455e-09	0.03238316	-0.057263486	-0.0038636606	0.92022145	0.012145428	35434.80456781387
32	-0.49891436	0.7796892	0.7945789	-2.9896774	1000.0	5.054602e-06	2.721985e-05	0.00015163799	0.0	8.742482	17.551483	74.332146	0.0	5497.0054	0.005552530677872475	-0.006461696	0.051882815	0.13375658	-0.4901335	990000	0.0	0.03090326	-0.0549625	-0.0027265623	0.92016053	0.0131135415	36379.80581617355
33	-0.5950517	0.90294075	1.9716141	-1.9818306	1000.0	4.1534067e-14	2.2360542e-13	1.2456862e-12	0.0	6.990507	13.093573	56.86866	0.0	5706.7207	0.00559482421875	-0.034319792	0.06621009	0.11870466	-0.6308788	1020000	7.1207684e-09	0.032773357	-0.05576329	-0.0022117756	0.92001575	0.015877912	37377.43141794205
34	-0.23613663	0.8336652	1.29541	-2.0660844	1000.0	1.41008125e-11	7.59352e-11	4.2302437e-10	0.0	6.612592	10.802155	39.937954	0.0	5905.098	0.005623902994791667	-0.029836152	0.057000775	0.12798673	-0.48918122	1050000	-6.103516e-09	0.029945971	-0.057463016	-0.0038390327	0.9202214	0.011925616	38493.62702727318
35	-0.37436384	0.8798924	1.610837	-1.94293	1000.0	6.7031506e-06	3.3972974e-05	0.00018929792	0.0	7.3666587	15.935267	70.07353	0.0	6126.098	0.005672313096788195	-0.011546165	0.09050364	0.18278804	-0.54637814	1080000	0.0	0.03156784	-0.054712538	-0.005504988	0.9201716	0.015855657	39629.332147836685
36	-0.5368461	0.7476304	0.8683541	-2.271513	1000.0	1.218108e-06	4.9321175e-06	2.5571711e-05	0.0	10.177375	14.249582	49.00085	0.0	6431.4194	0.005794071561796171	-0.0180513	0.051662657	0.13560273	-0.4373001	1110000	-4.83195e-09	0.033088893	-0.056035552	-0.0029274225	0.91921383	0.015874391	40713.730867385864
37	-0.51713467	0.8007426	0.7191	-2.06167	1000.0	1.505407e-06	8.10684e-06	4.5162084e-05	0.0	7.871969	16.549868	81.77375	0.0	6667.578	0.00584875274122807	-0.019153487	0.052829817	0.14571875	-0.43349695	1140000	-1.2715658e-08	0.028084787	-0.057097252	-0.002317831	0.91930354	0.013020554	41771.41843700409
38	-0.81198585	0.80775505	1.1136308	-2.1818945	1000.0	1.2087729e-09	6.509441e-09	3.6263184e-08	0.0	5.1487017	9.207445	34.521816	0.0	6822.0396	0.005830803034855769	-0.037940003	0.07301993	0.17961103	-0.5202624	1170000	-8.138021e-09	0.039822508	-0.05536704	-0.0046799965	0.9194301	0.016008046	42839.05473828316
39	-0.349167	0.59030277	0.7877389	-1.7874422	1000.0	3.369193e-17	1.8143628e-16	1.0107562e-15	0.0	6.215237	13.550423	70.6818	0.0	7008.4966	0.005840413818359375	-0.039909285	0.08396868	0.1974336	-0.56104624	1200000	-6.103516e-09	0.029221982	-0.0578465	-0.004213631	0.91841626	0.015681157	43931.69006752968
40	-0.50924957	0.6746222	0.56704724	-1.826986	1000.0	3.3736527e-09	1.8167677e-08	1.0120958e-07	0.0	8.289115	14.608107	56.72478	0.0	7257.17	0.005900138147865853	-0.013211322	0.06768191	0.14350805	-0.48171344	1230000	-4.0690105e-09	0.036277823	-0.056579124	-0.0058742836	0.91785455	0.012165741	44954.457371234894
41	-0.7190028	0.8258166	0.8748733	-2.6083815	1000.0	1.6062437e-12	8.649889e-12	4.8187312e-11	0.0	4.505058	7.653147	28.301899	0.0	7392.322	0.005866922045510913	-0.033326957	0.09473291	0.1808446	-0.59546137	1260000	-2.0345052e-09	0.039437383	-0.058188714	-0.009071307	0.91820407	0.012348601	45972.97592997551
42	-0.6825386	0.78667706	0.8209132	-2.4684749	1000.0	2.1159191e-14	1.0664219e-13	5.940989e-13	0.0	4.451534	8.601604	27.190672	0.0	7525.8677	0.005834005950218023	-0.050890487	0.079111256	0.16618475	-0.7489306	1290000	-1.0172526e-09	0.037862502	-0.056766406	-0.006072607	0.9188845	0.013893124	47041.35345029831
43	-0.60664314	0.84165484	0.80307287	-2.2180984	1000.0	5.477007e-09	2.9494583e-08	1.6431021e-07	0.0	2.4460065	6.3591666	34.169037	0.0	7599.248	0.005757006096117424	-0.03500127	0.08916946	0.19727975	-0.51111364	1320000	3.051758e-09	0.035081536	-0.058527414	-0.0057463385	0.9193211	0.014091447	48099.59966468811
44	-0.6105975	0.7402398	0.73611057	-2.261829	1000.0	3.263481e-05	0.00017179707	0.00095755747	0.0	6.242923	12.044851	47.359184	0.0	7786.5356	0.005767804181134259	-0.023277195	0.084598534	0.1969146	-0.6474215	1350000	1.3478597e-08	0.041626893	-0.05719601	-0.0074030347	0.91901356	0.012963093	49131.916031360626
45	-0.38798758	0.8828985	1.4679353	-1.9682653	1000.0	0.006483415	0.034914266	0.19450246	0.0	3.3837047	9.828774	53.584267	0.0	7888.047	0.005715975996376812	-0.043533273	0.10040155	0.2880581	-0.7107362	1380000	-1.5767416e-08	0.03728871	-0.05790223	-0.009803217	0.9181875	0.015008939	50193.90749812126
46	-0.4816184	0.7854865	0.91667205	-1.8045276	1000.0	6.252869e-06	3.366657e-05	0.0001875529	0.0	5.8530393	7.646489	28.58986	0.0	8063.6377	0.005718891982491135	0.010448504	0.09571867	0.29192364	-0.6022016	1410000	2.0345052e-09	0.031408064	-0.056316342	-0.005828105	0.9180685	0.013766897	51208.14159154892
47	-0.5286475	1.0760994	1.6323748	-3.2736838	1000.0	3.7232812e-17	2.005048e-16	1.1169844e-15	0.0	8.240888	12.275808	41.45602	0.0	8310.864	0.005771433512369792	-0.025520474	0.120450646	0.31974763	-1.1201845	1440000	-7.629395e-09	0.049313754	-0.057535376	-0.012629282	0.9175917	0.014683886	52296.596737384796
48	-0.6137666	0.83217174	0.62171566	-2.1373935	1000.0	2.3871025e-06	1.2751147e-05	7.1051996e-05	0.0	4.508156	8.451839	29.4031	0.0	8446.109	0.005745652636054421	-0.034483273	0.12567528	0.38725436	-0.64676034	1470000	1.8310548e-08	0.037551384	-0.058721405	-0.010244979	0.91765463	0.013634835	53296.94412088394
49	-0.5341627	0.7337311	0.76920545	-1.6832955	1000.0	0.006166943	0.033210006	0.18500829	0.0	8.580393	19.854069	102.10557	0.0	8703.5205	0.005802347005208333	-0.044959314	0.07892394	0.20335087	-0.5241671	1500000	1.6276042e-08	0.035055105	-0.05614935	-0.007786028	0.91845953	0.012692025	54292.04837536812
50	-0.33735523	0.76755095	1.3613734	-2.423581	1000.0	4.5246353e-09	2.4365903e-08	1.3573903e-07	0.0	12.325036	16.687826	61.55433	0.0	9073.272	0.005930243438521242	-0.016573196	0.08832041	0.39559978	-0.48854822	1530000	-1.525879e-09	0.034437977	-0.057111718	-0.010240873	0.91913307	0.0139639	55246.670751571655
51	-0.39702037	0.83340675	1.1172109	-2.763066	1000.0	1.4102697e-08	7.592393e-08	4.2296557e-07	0.0	8.380854	14.94431	60.058544	0.0	9324.697	0.005977370042067308	-0.039726876	0.15129513	0.30816263	-0.9021744	1560000	-1.2207032e-08	0.042738367	-0.058553122	-0.014261236	0.9190356	0.012048057	56298.78444933891
52	-0.4093105	0.8108336	0.8933284	-2.5471737	1000.0	0.004636391	0.024967734	0.13909173	0.0	12.445261	21.742868	80.760254	0.0	9698.056	0.00609940607802673	-0.0023812684	0.09021413	0.328784	-0.6567517	1590000	-3.051758e-09	0.033240683	-0.05661944	-0.006068239	0.9195324	0.013618667	57275.39313673973
53	-0.38486603	0.82689035	1.3310504	-2.3016849	1000.0	2.835105e-13	1.5164856e-12	8.449931e-12	0.0	12.63552	20.98904	85.049	0.0	10077.121	0.006220445119598766	-0.0217782	0.07656117	0.18967637	-0.5033171	1620000	-8.646647e-09	0.033934746	-0.057759117	-0.005266525	0.919358	0.014724567	58295.10145640373
54	-0.5470571	0.7774161	0.96340746	-1.9173669	1000.0	1.3844191e-09	7.3463737e-09	4.0941732e-08	0.0	5.282367	10.24897	47.513577	0.0	10235.592	0.00620338896780303	-0.042526122	0.094691105	0.17830989	-0.5982649	1650000	8.138021e-09	0.04266328	-0.058371257	-0.009372521	0.91893506	0.013252217	59238.42723584175
55	-0.2984564	0.8862484	1.0866584	-2.283114	1000.0	7.322284e-21	3.6210077e-20	2.0153617e-19	0.0	12.184928	16.019438	59.95996	0.0	10601.14	0.006310202171688988	-0.010714169	0.09277659	0.33282986	-0.8133294	1680000	0.0	0.04359384	-0.058398835	-0.008800376	0.9188323	0.014349465	60132.67837381363
56	-0.16743685	0.93682426	1.4767076	-2.1799016	1000.0	0.008477408	0.04565048	0.25431272	0.0	13.115261	18.912817	83.18053	0.0	10994.598	0.006429589272660819	-0.0035079382	0.09543421	0.29851818	-0.5872025	1710000	7.1207684e-09	0.037116896	-0.05660393	-0.007526174	0.91922116	0.015705924	61057.06660461426
57	-0.23714589	0.7525221	1.4716182	-1.6562732	1000.0	8.588526e-09	4.625062e-08	2.5765578e-07	0.0	7.6056447	12.005936	56.169758	0.0	11222.768	0.00644986642420977	-0.007921981	0.12673138	0.36627263	-0.8953013	1740000	-7.1207684e-09	0.037514493	-0.05868319	-0.0077991094	0.9195793	0.012742475	62037.3349545002
58	0.05958267	0.9288167	1.2192335	-2.157565	1000.0	3.1943814e-06	1.2574052e-05	6.304006e-05	0.0	11.617745	16.549892	54.80344	0.0	11571.3	0.006537457516772599	0.012373508	0.110120505	0.3712577	-0.73704463	1770000	-4.0690105e-09	0.03397626	-0.06017619	-0.009274691	0.91848046	0.0146744	62981.454223394394
59	-0.069611154	0.8027045	1.1718732	-2.1452374	1000.0	0.00037166444	0.0020014741	0.011149934	0.0	9.757716	16.6121	54.981544	0.0	11864.031	0.006591128472222222	0.012334864	0.1510661	0.4294152	-0.8199702	1800000	1.0172526e-09	0.041842442	-0.058281746	-0.012497963	0.91925114	0.014767324	63941.32992196083
60	-0.006380411	0.7691463	1.7564741	-1.4605178	1000.0	2.5745194e-05	0.00013735332	0.0007653849	0.0	13.338938	17.349968	72.32025	0.0	12264.199	0.006701748206967213	0.0010823928	0.084570125	0.2959745	-0.54183483	1830000	-2.5431315e-10	0.03797681	-0.057427768	-0.008078009	0.9192997	0.015733195	64849.526908397675
61	-0.06890448	0.76506346	1.4228684	-1.7175527	1000.0	3.1921188e-06	1.719008e-05	9.576355e-05	0.0	12.340107	15.523018	45.813263	0.0	12634.402	0.006792689432123656	0.024453217	0.10230697	0.3624508	-0.5310715	1860000	-6.612142e-09	0.03971281	-0.0582931	-0.008412771	0.9186777	0.012573043	65752.12139773369
62	-0.025575163	0.8008349	1.4948727	-1.8957939	1000.0	0.0074155335	0.039933868	0.222466	0.0	11.996296	13.274218	46.079994	0.0	12994.291	0.006875286251653439	0.029668221	0.12066726	0.3146075	-0.8723975	1890000	3.5603842e-09	0.04229538	-0.057317875	-0.009734683	0.9189486	0.012962547	66741.36675357819
63	0.15534543	0.8455352	1.7452394	-1.5088704	1000.0	0.002114959	0.011389404	0.06344877	0.0	13.6329775	18.899717	68.744774	0.0	13403.28	0.006980875142415364	0.0135405585	0.147813	0.3636727	-0.834028	1920000	8.138021e-09	0.042549968	-0.058241263	-0.012837427	0.9163908	0.014049566	67681.92303204536
64	-0.25651425	0.9662348	1.6843394	-2.096273	1000.0	2.0307385e-05	0.00010826165	0.0006032859	0.0	16.308708	17.691362	67.01242	0.0	13892.542	0.007124380508814102	0.037961643	0.12435029	0.30297995	-0.6965808	1950000	-2.5431315e-09	0.046278518	-0.05882578	-0.01277693	0.9165478	0.01266039	68595.87692308426
65	-0.30653417	0.87605137	1.4198115	-2.1025693	1000.0	2.4651604e-11	1.3268175e-10	7.3916456e-10	0.0	12.149304	21.074375	91.01323	0.0	14257.0205	0.007200515407986111	-0.0011301545	0.14844607	0.45131996	-0.81764734	1980000	1.0172526e-08	0.051466774	-0.05962541	-0.012826875	0.9168645	0.014279864	69546.44249081612
66	-0.18838643	0.64551765	1.1588488	-1.578143	1000.0	1.4306056e-05	7.703765e-05	0.00042916648	0.0	12.532011	19.153164	74.041534	0.0	14632.981	0.007280090271299751	0.008115992	0.1302581	0.28923237	-0.8023832	2010000	-9.6639e-09	0.0389156	-0.058574274	-0.010502838	0.9153855	0.013338207	70423.42132496834
67	0.15351084	0.77198386	1.3950179	-1.3914636	1000.0	1.2354376e-17	6.653032e-17	3.7063118e-16	0.0	11.662709	16.893187	61.73555	0.0	14982.862	0.007344540345435049	0.004714327	0.14481723	0.3669864	-0.9873908	2040000	-1.8310548e-08	0.051064536	-0.059474804	-0.013962738	0.9146459	0.012615745	71320.28897738457
68	0.22513193	0.90703034	1.5296963	-2.015595	1000.0	0.0011412525	0.0061458084	0.034237444	0.0	11.630314	15.893391	56.592674	0.0	15331.771	0.007406652891002416	0.04874543	0.118384965	0.35392767	-0.77804285	2070000	-7.1207684e-09	0.039855964	-0.06120088	-0.010752525	0.9159043	0.013014577	72246.4785118103
69	-0.0039573214	1.0740745	1.6067351	-2.6573513	1000.0	0.00020654792	0.0011122946	0.0061964374	0.0	11.754796	15.479127	49.108597	0.0	15684.416	0.00746876953125	0.041976463	0.1285851	0.4102957	-0.77711403	2100000	-5.086263e-09	0.048777055	-0.05905048	-0.016349256	0.91518193	0.012841759	73157.37683868408
70	0.18303336	0.8349135	1.5220829	-1.995392	1000.0	0.00071950344	0.0038746384	0.021585066	0.0	7.238741	9.99644	38.336834	0.0	15901.578	0.007465529636150234	-0.015540869	0.19663061	0.3650731	-0.9991297	2130000	6.103516e-09	0.052434515	-0.060261995	-0.015727598	0.91550964	0.011763986	74085.50404858589
71	-0.06284708	1.0913502	2.1041656	-3.0889673	1000.0	1.4203531e-05	5.806172e-05	0.00030361797	0.0	16.10179	16.690409	51.7952	0.0	16384.63	0.007585477249710648	0.011179794	0.1652524	0.3679218	-0.88701856	2160000	-2.5431315e-09	0.0506916	-0.058872856	-0.017420635	0.9144505	0.01379728	74994.29699611664
72	0.04354603	1.0260389	1.4737172	-1.8212794	1000.0	1.0102758e-10	5.4402644e-10	3.0306997e-09	0.0	13.847365	16.126915	55.45547	0.0	16800.053	0.007671256956335616	0.008589213	0.17318317	0.42002112	-0.78425264	2190000	1.7801921e-09	0.051870346	-0.057701375	-0.014885172	0.91408986	0.012257827	75916.14490509033
73	0.095457986	0.8824424	2.0195622	-1.3646399	1000.0	8.7636404e-10	4.719363e-09	2.6290916e-08	0.0	13.209324	18.028955	75.532234	0.0	17196.332	0.007746095509572072	-0.0025756562	0.19286788	0.459846	-0.9118511	2220000	-6.103516e-09	0.053418886	-0.057805482	-0.016938597	0.91345316	0.01300602	76763.8248591423
74	0.27232283	1.0358154	2.526234	-1.7744939	1000.0	1.6002643e-05	8.617686e-05	0.0004800793	0.0	8.300037	13.162536	53.080017	0.0	17445.334	0.007753481770833333	0.01270494	0.18908794	0.41279554	-0.9601583	2250000	-1.0172526e-09	0.04953195	-0.058610857	-0.018191852	0.9132645	0.012721882	77642.33734631538
75	0.31224337	0.779024	1.9535202	-1.0832094	1000.0	0.009566758	0.051511683	0.28696564	0.0	17.143665	16.92986	65.6117	0.0	17959.643	0.007877036218475877	0.08310562	0.17009112	0.49145532	-0.6834172	2280000	-2.0345052e-09	0.042674545	-0.060870312	-0.014350891	0.913791	0.015199658	78529.18942832947
76	0.41903183	0.8477016	1.8905767	-1.9234635	1000.0	0.05351999	0.2882006	1.6055276	0.0	17.988466	15.626701	60.44102	0.0	18499.297	0.008008353625541125	0.060324576	0.15917622	0.4125868	-0.7899569	2310000	-4.3233235e-09	0.043879036	-0.058975343	-0.013811683	0.91307116	0.011555561	79391.11334252357
